Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Years,Spending_Level,Payment_Size
22.0,Mechanic,20383.222233691864,1836.153710053284,10,9,32.0,3.0,62,24.0,9.571954704304243,8.0,Standard,2.4439934668483843,27.46434019135507,Yes,42.603489956291305,234.51453709415364,Poor,11.0,Low,Small
19.0,Manager,119174.84947138117,11258.816389226315,1,6,5.0,0.0,8,5.0,4.08259347216331,4.0,Good,0.07662277569311296,38.64167354089116,No,343.5136275815076,1095.215987207374,Standard,20.0,High,Large
21.0,Mechanic,33239.31668614165,2631.9813631304487,6,7,31.0,8.0,30,2927.0,16.59448284834595,7.0,Bad,2.4209451804952495,28.818922843768824,Yes,93.8145572739772,263.05236557936536,Standard,20.0,High,Small
17.0,Manager,22010.858536040945,1642.3580823329457,4,5,5.0,1.0,19,8.0,3.4126822005605955,2.0,Good,1.196145194273815,24.87317009546341,No,127.1182512890568,199.45226618813393,Good,26.0,Missing,Missing
19.0,Journalist,17922.84494399429,1863.8423378561376,4,2,12.0,0.0,31,11.0,3.0019836210733932,0.0,Good,0.9834833022834415,29.98742712727975,No,82.74998562231549,320.4816171916331,Good,22.0,High,Large
37.0,Developer,39955.72966844517,1677.5581801739868,2,6,17.0,9.0,33,14.0,9.045401474540828,11.0,Bad,1.3333536559215036,26.79604969884902,NM,140.975511918573,281.29254355160924,Poor,4.0,Low,Missing
40.0,Scientist,86340.00114579,9374.59579953863,5,4,9.0,4.0,8,12.0,10.763047927968062,6.0,Good,1.046556627283836,39.9913236299176,No,237.88394485209324,679.5637666213984,Standard,26.0,High,Large
48.0,Mechanic,7006.035,1238.6027796496564,8,6,18.0,8.0,18,20.0,16.7186835729407,8.0,Standard,2.5609275960368985,39.82933038690162,Yes,38.40360756643338,222.03865597529042,Standard,2.0,Low,Small
20.0,Engineer,67320.41178936778,2248.090098192523,5,5,4.0,4.0,6,6.0,1.2268421394782032,4.0,Good,0.00023,40.26613479469969,No,141.21308049609223,474.6079939006038,Good,24.0,High,Large
41.0,Musician,143378.84483065305,10449.132734013428,3,3,11.0,4.0,9,3.0,10.7684131989239,9.0,Good,0.3960834065252942,37.672084796680515,No,145.83565769783905,389.2204035145582,Poor,26.0,Low,Medium
34.0,Media_Manager,18863.481021265114,2211.0228208812027,1,6,3.0,1.0,17,1.0,0.7412363867891504,3.0,Good,0.46352648697013554,33.093201007991595,NM,63.12481442399193,260.2645103380867,Good,17.0,High,Large
37.0,Entrepreneur,37215.72419583883,2653.956279231522,3,5,11.0,4.0,1,8.0,3.3007844225072405,5.0,Good,0.2719942825242283,24.936457499556177,No,215.87306127840128,381.55908428324085,Good,24.0,Low,Small
38.0,Accountant,19494.962634491854,529.874001304976,8,5,28.0,7.0,30,16.0,9.894931008506495,6.0,Standard,2.4200033072726184,32.57234650424828,Yes,91.80646826227542,331.0750758854486,Poor,9.0,Low,Small
22.0,Entrepreneur,39306.66829945777,9959.618177112712,2,6,10.0,2.0,11,6.0,7.872180093571595,4.0,Good,0.38152910185076166,36.335427361635915,No,142.11121046363573,527.7063789832912,Good,29.0,High,Medium
28.0,Engineer,73211.2095059005,1571.1706618302278,3,4,8.0,3.0,16,15.0,6.857109471648072,7.0,Good,0.7362356744043007,24.779828477329982,No,184.37463744210376,318.76847043607324,Standard,18.0,Missing,Missing
30.0,Developer,105099.1446232269,11127.996933064846,5,5,11.0,5.0,31,18.0,16.202750464110366,7.0,Standard,3.335277727857446,26.471130687169293,Yes,311.4665061947793,175.42771826201113,Good,11.0,Missing,Missing
17.0,Manager,14429.974188270822,763.6804208360975,9,10,23.0,9.0,38,25.0,24.988084601945882,11.0,Bad,3.448178261827748,32.20250589568958,NM,86.04914329225169,271.18638478425856,Standard,0.0,Low,Small
17.0,Entrepreneur,59215.47534057648,5568.345223711432,4,6,15.0,3.0,23,14.0,15.4020393155057,4.0,Standard,0.5100120769219406,26.067824835708887,Yes,201.0967090042683,442.9439441755069,Standard,15.0,Missing,Missing
52.0,Mechanic,20744.481104578597,5650.397823652778,3,3,4.0,3.0,22,7.0,8.990600699661446,4.0,Good,0.4331683723701327,28.09242076935336,NM,236.96171205533906,329.82955021783584,Good,25.0,High,Medium
52.0,Architect,40594.725382643446,2889.610621128645,0,1,1.0,3.0,13,5.0,10.646581306440002,0.0,Good,0.9814079591224019,31.698270731727995,NM,96.74708083627552,255.36752605756462,Good,30.0,Low,Medium
48.0,Teacher,34876.025024660536,2260.933055051743,6,7,3.0,6.0,20,19.0,7.985340164320853,2.0,Good,0.021656658140517412,30.74052955002195,NM,59.512341204483135,293.239023056442,Good,14.0,High,Large
43.0,Doctor,113288.04721494287,6982.025593859807,7,5,15.0,4.0,6,10.0,4.073756659264079,4.0,Good,0.9960547915005936,36.51206209248063,No,347.2398055575519,396.80085184697964,Poor,12.0,High,Large
34.0,Engineer,17145.530891123995,970.0685251985218,2,3,10.0,2.0,14,5.0,3.8903665320985277,7.0,Good,0.3894385088831311,24.76154977146329,No,107.12596755755817,267.89983093178375,Good,14.0,Missing,Missing
50.0,Manager,91616.14785996971,6070.466762626464,3,3,8.0,3.0,14,3.0,10.564668651146134,5.0,Good,3.154203976646709,42.081504916669445,NM,416.4487879218842,988.4870317405434,Good,21.0,High,Large
18.0,Developer,86239.34134642783,6713.852098061091,4,4,15.0,4.0,29,20.0,11.189493026207552,5.0,Standard,3.6491903844165554,25.254871802087276,Yes,192.76886711738695,336.54296313694573,Standard,7.0,Missing,Missing
25.0,Media_Manager,20165.31804739114,3111.733155336178,3,5,17.0,4.0,20,21.0,7.30823934760965,0.0,Standard,0.938903172185147,36.812083992650955,Yes,105.4291930011073,437.94378753084675,Standard,18.0,High,Small
27.0,Engineer,33006.950608980194,3081.1177049942403,6,5,15.0,4.0,1,4.0,2.769552168352724,4.0,Good,0.2715136077013136,28.79023976427583,No,141.06692422978733,384.15467242100567,Good,18.0,High,Small
44.0,Media_Manager,35493.52244410849,2300.4906578669525,2,7,12.0,2.0,3,4.0,1.9126616869084716,3.0,Good,0.3633868045340911,35.08592628836024,No,374.9556453073173,328.7557792499914,Good,25.0,High,Medium
25.0,Media_Manager,25875.99603008241,2787.8820504772034,4,2,2.0,1.0,14,4.0,0.9577872840975787,0.0,Good,0.8527713769841625,30.552053183890504,No,97.49103679905016,261.5173550898874,Good,24.0,Low,Small
47.0,Developer,33270.13897071979,1990.1186769978333,5,4,6.0,3.0,29,11.0,9.151159031163184,1.0,Good,1.0829965858637842,34.42026326312463,No,74.84649920252544,379.8919636594968,Good,17.0,High,Medium
28.0,Media_Manager,76721.10880132766,9450.413221766014,4,7,5.0,1.0,23,21.0,6.982755708204418,5.0,Standard,1.2304811321982096,26.88763371840032,No,163.83326591375123,692.6051564711421,Standard,18.0,High,Large
26.0,Musician,16133.861044496345,10685.091195335104,3,6,4.0,0.0,2,5.0,1.3558377877869576,3.0,Good,0.00023,37.514628394403125,No,216.93969355215995,40.81213096550765,Good,29.0,Low,Small
27.0,Mechanic,16831.091043254404,1134.8378464615578,10,9,15.0,9.0,35,17.0,21.97473965856699,9.0,Bad,3.9316281263543544,23.720641585279694,Yes,75.04247134567932,258.63249139856333,Good,5.0,Low,Medium
36.0,Mechanic,125329.05228135527,7723.690842357181,0,6,6.0,1.0,26,10.0,1.0006079548511826,3.0,Good,0.8098928000421957,29.191917336704424,No,557.2021616695208,252.1097572223582,Poor,26.0,High,Large
15.0,Manager,18546.86801105425,2755.6610665690446,8,5,31.0,7.0,8,12.0,11.082772820354588,10.0,Standard,2.1194963260498865,38.58234865330138,Yes,69.85200741362273,262.6765201929658,Poor,6.0,Low,Small
34.0,Architect,13334.583671865894,2263.0596703168694,4,3,12.0,1.0,4,4.0,6.148446550409397,0.0,Good,0.040989978130651306,29.69583527296195,No,73.11658694544305,206.58691730281174,Good,30.0,Low,Small
38.0,Entrepreneur,64176.671946043614,5130.653335627583,7,6,17.0,9.0,10,18.0,5.059027845930704,3.0,Bad,2.8437063329350702,25.166559672203796,Yes,231.34859384276828,403.63884369605194,Standard,8.0,High,Medium
24.0,Engineer,114783.59297146444,3140.1985254600795,2,4,6.0,3.0,19,4.0,0.7806848826851889,3.0,Good,1.3019592399453839,27.71514623713583,Yes,188.58927374354926,613.7610443666039,Good,32.0,Low,Missing
50.0,Accountant,31150.808509353315,841.9561796048819,6,6,8.0,4.0,26,14.0,1.4097854521375628,3.0,Standard,0.48782560635816263,37.820694338400415,Yes,101.10083221816008,302.59336321696856,Good,23.0,Low,Medium
45.0,Architect,48080.623677518684,3944.0923774453586,5,6,5.0,4.0,28,12.0,1.8837719801609727,1.0,Standard,0.19564596764417994,30.371662648730858,No,195.7343073492192,291.6261635841021,Standard,29.0,Low,Medium
31.0,Architect,62072.03470705471,1669.0724194897393,7,7,10.0,2.0,24,14.0,15.889753253982573,3.0,Standard,0.4749291954596788,39.8429804204932,NM,93.58616944545575,353.2909169052974,Standard,8.0,Missing,Missing
21.0,Lawyer,15251.501535079633,1002.960694097151,4,6,11.0,0.0,11,15.0,15.555862815665208,10.0,Standard,2.7667549474227364,39.33885908092041,Yes,85.39739690839629,338.2551817962889,Standard,29.0,High,Medium
55.0,Writer,122713.37940259994,7117.079477093527,0,7,9.0,1.0,2,5.0,4.725209322179134,1.0,Standard,0.3987762003438501,31.493742282188716,No,161.49528472110745,232.2964891627493,Good,31.0,High,Small
51.0,Doctor,82548.10699786997,1535.7140142527624,1,3,3.0,2.0,7,0.0,4.055762171633344,1.0,Good,1.12081087084462,38.6232077468621,No,108.3499986594161,234.956964145663,Good,32.0,High,Small
52.0,Media_Manager,106125.39129817639,10949.206081932667,2,2,1.0,0.0,14,7.0,3.2114552567170733,3.0,Good,0.2662371873811597,34.67414553082484,No,157.3851046738735,494.12541077105277,Good,20.0,Low,Medium
29.0,Writer,87593.33642060612,8792.522543596064,7,4,16.0,2.0,20,10.0,9.204405220702387,4.0,Good,0.2738759126111905,29.120735206632272,NM,87.33681272066612,383.71744080901993,Standard,29.0,Missing,Missing
50.0,Accountant,104433.44953787884,10494.763649885042,0,1,8.0,1.0,1,0.0,-0.08406943326396132,2.0,Good,0.7992145635263125,39.62060790059834,No,437.51334969030756,444.00463782161074,Standard,27.0,High,Large
37.0,Scientist,19198.934326490427,1123.081222782219,10,6,24.0,9.0,50,19.0,17.630273164220082,12.0,Bad,2.9585247450890346,28.60019166353529,Yes,81.88031869070876,324.65891629809016,Poor,9.0,Low,Medium
42.0,Musician,90117.24821021932,4181.301107801542,0,5,5.0,0.0,35,9.0,0.06513654285331216,1.0,Good,0.3198879871476471,26.999077026867514,No,244.48675991195356,270.56383889658076,Poor,31.0,High,Medium
37.0,Lawyer,62258.30427956799,4962.648699377157,7,6,3.0,4.0,19,15.0,25.41469737594797,11.0,Bad,1.0467031418407342,29.797105462707187,Yes,162.75972022957203,411.85142314020663,Poor,16.0,Low,Small
48.0,Engineer,21051.729366716947,1637.5992154349608,1,3,2.0,0.0,30,7.0,4.802330252616278,4.0,Good,0.848013588234646,26.07012946590332,No,148.63934843384416,428.8347172081675,Poor,29.0,Low,Medium
51.0,Mechanic,28758.272639153074,2808.8655740253366,2,5,2.0,1.0,8,3.0,1.9383605951824372,2.0,Good,1.3855620084136542,36.612004968810545,No,134.13610703801862,525.2241165851303,Good,15.0,High,Small
37.0,Media_Manager,34805.071665846095,2769.4701372056543,10,7,15.0,6.0,38,14.0,6.664089915849014,11.0,Bad,4.258566960504022,35.90314640637437,Yes,128.00925971208966,354.895939059711,Poor,16.0,Low,Medium
34.0,Scientist,27215.962184717526,6678.41274417021,8,5,13.0,5.0,10,15.0,6.146589889463325,5.0,Bad,0.8676908835731796,25.79670131787737,NM,63.630938474606396,424.37550730065874,Standard,7.0,High,Large
25.0,Architect,131699.36393256008,9902.321179620023,4,5,7.0,3.0,11,1.0,18.634019822324138,4.0,Standard,0.7896429054879306,32.2055269246443,No,200.1993766481985,433.48880502970866,Poor,30.0,High,Large
22.0,Entrepreneur,18144.46284150217,1442.8082556885795,10,6,27.0,5.0,8,14.0,14.53282601653712,6.0,Bad,2.414614649096139,28.99034793145149,Yes,80.54099038998812,311.3871896516571,Poor,15.0,Low,Small
28.0,Entrepreneur,9900.311497426961,790.9742677855329,6,5,15.0,2.0,33,18.0,4.285161333524638,10.0,Standard,2.5382675975148308,25.096151546452393,Yes,126.98934384585597,293.7512224530439,Poor,16.0,Low,Medium
21.0,Lawyer,93643.19417771952,10225.673197230291,4,7,4.0,4.0,3,1.0,11.33918656353034,4.0,Good,1.1660101957695939,36.09389546218623,No,149.08655169885995,531.6374327107113,Standard,28.0,Low,Medium
27.0,Doctor,130909.67132732268,7480.989420359169,7,4,5.0,3.0,8,5.0,6.518313334589907,5.0,Good,0.028661219378018937,35.79227020782737,No,266.9080649576449,747.3556392340881,Good,27.0,High,Large
28.0,Accountant,32868.53143146181,3191.835643051879,8,3,14.0,0.0,14,13.0,5.513228222409042,1.0,Standard,1.3451737742996221,35.867577084654386,No,69.37646389397584,427.2132171818095,Standard,18.0,High,Small
40.0,Developer,13673.31476606864,1110.3627395827239,8,5,23.0,6.0,46,17.0,0.8194131909872935,15.0,Bad,1.389443302244648,27.059888577087783,NM,77.16431509019309,255.4882310561144,Poor,18.0,Low,Small
28.0,Manager,32874.58662298676,2434.950388798431,6,5,15.0,2.0,27,15.0,9.942282791317243,0.0,Standard,0.33127524839663686,31.36602433349875,No,72.6756510158289,244.26167548977332,Standard,25.0,Low,Large
19.0,Engineer,36664.580414867174,3030.8061688620346,3,5,14.0,2.0,10,9.0,10.160249734304898,3.0,Standard,0.22184943695967693,37.06666195501268,No,171.64281765492586,375.5113065372924,Standard,33.0,Low,Large
31.0,Accountant,16775.43365610983,671.5883233851916,7,7,26.0,7.0,13,3240.0,18.370090986408492,8.0,Standard,4.445005060027825,35.35079004664286,Yes,147.90885885435193,253.17061816522883,Standard,9.0,High,Small
35.0,Developer,77836.33318498361,3717.6621526688937,7,10,23.0,5.0,33,25.0,14.30626322149223,6.0,Bad,4.0790786972161035,29.33913476015713,Yes,76.01874613379233,92.8862363394228,Poor,14.0,High,Medium
21.0,Entrepreneur,34964.05281994429,2852.7504956897033,1,2,9.0,1.0,3,0.0,3.676652076027387,2.0,Good,0.21903982040379288,31.027098606006568,No,178.64502234740976,274.42028638054995,Good,15.0,High,Small
25.0,Writer,19549.06205850631,6425.577496627569,6,10,28.0,8.0,59,19.0,15.667148903622856,11.0,Bad,4.260576036998431,28.487082843156102,Yes,147.41098625082458,220.1410760744305,Poor,12.0,High,Missing
50.0,Doctor,104822.86606225165,5008.400000609107,4,5,7.0,2.0,1,7.0,3.6275362853976842,7.0,Good,0.5625357119972991,34.95702666506734,No,321.8719081907861,692.767706133581,Good,16.0,High,Large
41.0,Lawyer,69522.2853279674,4476.956050676197,9,6,29.0,8.0,56,27.0,22.746626050722746,15.0,Bad,4.722916751010815,31.907521767213822,Yes,409.5258887917847,154.31694457268065,Poor,8.0,Low,Small
42.0,Accountant,70719.37075747769,3381.054293558517,0,4,8.0,3.0,10,6.0,2.0168698607609916,4.0,Good,0.2349638198102545,32.4974608759073,No,827.1590632483883,704.1843037418856,Poor,19.0,High,Small
15.0,Media_Manager,16770.56193230651,1535.998740640151,8,9,25.0,5.0,55,20.0,2.9934060641224116,0.0,Bad,4.9162688691354655,26.18601255697674,Yes,110.97208299290588,322.50794505547697,Poor,7.0,Low,Large
37.0,Entrepreneur,63409.403112891756,4946.424351827486,9,5,32.0,2.0,18,15.0,8.635999259572584,14.0,Bad,1.6766080931600242,30.380322391888264,Yes,335.6104880265882,421.7729613354697,Poor,14.0,Low,Medium
22.0,Manager,70309.85444764656,6892.292518893229,0,6,8.0,2.0,21,4.0,10.521007536409128,6.0,Standard,0.26137935489275893,27.91044587114734,Yes,221.6855273785451,373.8221708763356,Good,30.0,High,Medium
34.0,Entrepreneur,18382.431888743464,1790.1548963073496,10,10,22.0,9.0,33,21.0,26.721802631632276,15.0,Bad,4.3321098458308835,35.69306369568138,Yes,124.12784517245298,268.9280577658415,Standard,3.0,Low,Small
22.0,Accountant,34485.50141300606,3020.1403044784147,8,10,34.0,5.0,54,13.0,12.551656982350169,11.0,Bad,4.220321678909736,26.416676754442378,Yes,120.56043413609866,292.30681838106045,Poor,5.0,Missing,Medium
20.0,Architect,15876.127992983947,2727.0620688586164,5,3,8.0,2.0,7,9.0,0.8353787022783032,5.0,Standard,0.7539868971327461,28.027181493699405,Yes,127.59992173976279,441.1616042074279,Standard,9.0,High,Large
29.0,Engineer,131839.75365506986,1556.9394724595998,5,7,5.0,1.0,21,10.0,15.053077221201617,2.0,Standard,0.3803757960022233,28.808399775976586,Yes,92.51382905691754,309.57580155384784,Standard,16.0,Low,Large
27.0,Scientist,91767.30543151597,10596.312759038085,1,4,1.0,2.0,8,9.0,10.725338652383925,3.0,Good,1.0936983644695335,29.318083339650013,NM,256.1025853628586,662.947738140278,Standard,26.0,High,Small
33.0,Manager,29631.97178174421,2708.678127364912,0,3,1.0,0.0,3,2.0,1.225959723487781,0.0,Good,0.5539206164359767,24.80154403608032,No,147.65311575196415,480.57714197213966,Standard,31.0,High,Small
36.0,Engineer,18044.542240773917,1458.4185510555667,10,8,33.0,8.0,60,28.0,7.266245748086272,11.0,Bad,1.8544808828899368,38.4902343086041,Yes,72.92187759508465,294.6162447543454,Poor,13.0,Low,Large
53.0,Writer,30356.809270309346,5351.250472833612,4,7,11.0,1.0,4,5.0,11.277665132849258,5.0,Good,0.18435933354265965,38.809816907714264,No,494.98411038149743,415.71162504837685,Poor,31.0,High,Medium
16.0,Developer,14369.09170810032,1500.4689168294026,3,7,8.0,5.0,15,14.0,1.4046441951119415,2.0,Good,0.4580715568437761,33.15509794243315,NM,44.879986985499244,178.06737793030618,Good,3.0,High,Small
22.0,Scientist,18752.273389856706,1724.9391613209423,7,6,31.0,6.0,30,17.0,6.308796899516721,11.0,Bad,4.194967523257206,28.130263700537427,Yes,65.01747318650196,259.84702964722237,Poor,11.0,Low,Medium
53.0,Engineer,13625.708965698668,878.0138052698385,3,1,5.0,1.0,1,4.0,8.477190246489448,3.0,Good,0.8700225072191526,43.419308197248135,No,69.47247385157758,320.71802888969756,Good,32.0,Low,Medium
37.0,Journalist,77475.07658886751,961.1906122978259,7,7,14.0,6.0,34,17.0,16.670830341612653,7.0,Standard,3.295903486776966,40.2123693082369,Yes,201.4934550650195,188.10302572888975,Standard,7.0,High,Large
28.0,Teacher,32100.56255294547,2560.8989706655198,4,6,16.0,0.0,12,14.0,6.012396821491197,3.0,Standard,1.066115141117815,31.124239358239524,No,188.24822868139464,415.54387373295134,Standard,25.0,Low,Small
46.0,Doctor,17159.370895163145,2097.1406710596643,5,3,15.0,1.0,14,17.0,11.53464487560654,6.0,Standard,1.212448276784304,39.15909059442975,Yes,88.35943967553207,227.55859110288492,Standard,18.0,Low,Small
17.0,Journalist,16783.498911733685,1537.6250075885555,2,3,7.0,2.0,10,5.0,7.827966612595839,2.0,Good,0.7113355451350458,35.631904371941204,No,64.21617064469937,251.30842765320523,Good,21.0,Low,Large
29.0,Engineer,64965.44084903021,1968.100123286853,6,4,13.0,6.0,19,25.0,10.266494302849434,8.0,Standard,2.204308066805454,30.54494445156046,Yes,99.65552801238607,284.42167910208104,Good,14.0,High,Small
18.0,Media_Manager,18407.327430430614,1516.4769397556272,5,7,21.0,3.0,10,11.0,12.304441772398638,6.0,Standard,0.2913221743673379,28.616654760383454,NM,165.71770435383206,225.95547570143822,Poor,15.0,Low,Large
25.0,Accountant,37246.39733576717,1640.3541211176557,5,7,7.0,1.0,19,6.0,11.029613758648189,0.0,Good,0.24563599243915535,40.073125188975546,NM,137.5118537805462,288.13461748374226,Good,22.0,High,Small
30.0,Lawyer,18359.681511790353,1612.3779635083224,6,10,22.0,9.0,61,23.0,6.286614952920454,11.0,Bad,2.630026719529072,25.868194502986356,Yes,128.23823548339723,368.61908225144623,Poor,7.0,Low,Small
30.0,Accountant,110062.51516615866,7223.6680722543415,1,5,1.0,2.0,7,1.0,2.95824021600881,3.0,Good,0.15334655590472931,34.30408875979521,NM,339.10247847848376,658.8951404648191,Good,22.0,Low,Small
25.0,Engineer,14916.000469767267,1739.6015299596263,9,7,24.0,7.0,33,18.0,20.387668620200277,11.0,Bad,3.3431271239099583,31.042626868416566,Yes,56.74831371201033,220.6661212656395,Standard,7.0,Low,Small
30.0,Teacher,13317.480999470528,790.7727826671672,6,6,33.0,5.0,35,22.0,20.588940424033115,9.0,Standard,2.0180103739857467,25.008551175456738,Yes,49.04829523689963,285.99787557194264,Standard,8.0,Low,Small
53.0,Scientist,117076.07432191425,7536.026752472688,1,5,7.0,2.0,0,4.0,7.561783618374769,0.0,Good,0.30877335942260953,34.89496177768915,No,177.89961218654426,853.255390802266,Good,31.0,High,Small
24.0,Scientist,38065.02984889806,2801.062703032983,4,3,6.0,1.0,15,1.0,2.5387601034469967,1.0,Good,0.010808651408267922,38.04900480181819,No,154.21329411562405,266.8516455320642,Poor,27.0,Missing,Missing
54.0,Mechanic,30284.654902503466,2416.1771804582727,3,5,8.0,4.0,12,8.0,4.418938503370828,4.0,Good,0.8713934080299478,31.574537055302216,No,245.9604156598787,315.937599475399,Standard,29.0,Low,Small
46.0,Manager,71662.3516054238,2257.903671653369,0,3,4.0,3.0,5,4.0,7.8741106789924356,3.0,Good,0.3842475556574469,27.144944670935743,No,340.06318888525504,216.10537663063553,Good,27.0,Low,Medium
25.0,Architect,33416.18684941996,2940.2539576097424,8,9,25.0,8.0,10,16.0,3.8342107845908417,12.0,Bad,2.550456535341712,34.545624138966,Yes,209.8835765543016,373.5705546027866,Poor,19.0,Low,Small
16.0,Accountant,23930.892368342604,2348.906471846711,5,1,2.0,2.0,17,9.0,3.3187814539705878,4.0,Good,0.7239261026368599,31.027884159280905,No,146.51378831230562,316.05049978553274,Good,20.0,High,Small
35.0,Journalist,35406.134387201324,3937.413386793335,1,5,8.0,0.0,5,6.0,7.4070556155867795,3.0,Good,0.9855464403390846,32.912118840534255,No,146.4669741436328,430.6940193313433,Good,28.0,Missing,Missing
26.0,Doctor,97623.46661838057,1476.4992477614385,5,4,10.0,1.0,12,7.0,7.269462372152001,4.0,Good,0.9987228496358452,36.03924540041919,No,501.23256927170655,324.38463125205845,Good,27.0,Missing,Missing
37.0,Engineer,107945.09820489473,9337.808071358733,3,3,19.0,2.0,28,13.0,3.719526970319157,1.0,Good,1.3989717883157735,38.97090741144387,Yes,215.0794291835458,588.7845379618482,Standard,19.0,Missing,Missing
55.0,Accountant,65223.784169874736,4656.279123877027,7,5,24.0,4.0,27,16.0,8.644233533439982,1.0,Standard,1.8851367016495453,36.51355948641416,NM,52.700619059425804,203.79902362047343,Standard,16.0,Low,Large
24.0,Journalist,25998.824380050657,1358.3285506366685,7,9,16.0,7.0,22,21.0,19.179804391826327,6.0,Standard,1.9369268462938112,32.84382526621869,Yes,125.48186611854582,324.19558850912495,Poor,5.0,Low,Small
46.0,Lawyer,79249.09069754758,9382.837503684344,3,4,1.0,4.0,9,1.0,0.6804880256475788,6.0,Good,1.1371136719393025,38.68965068058226,No,286.5555719210713,457.28821332036887,Good,23.0,High,Large
45.0,Musician,136596.5655135818,12052.342790101324,3,7,16.0,3.0,25,12.0,15.256509550463388,8.0,Standard,0.30536725572042234,39.36597219250437,Yes,845.3462262738028,922.3414828843734,Standard,27.0,High,Large
15.0,Musician,9782.042219050434,5978.500558609335,6,9,23.0,8.0,45,19.0,8.74096707023373,9.0,Standard,1.5027425223863562,27.881055256319062,Yes,293.07441107539415,263.87360371883756,Poor,7.0,Missing,Missing
43.0,Lawyer,72427.42045848061,8969.814175741369,1,6,4.0,0.0,18,5.0,2.973103740080356,4.0,Good,0.8215079331011798,23.362257053374943,No,232.57542059760146,670.8558486957145,Poor,23.0,High,Large
51.0,Mechanic,105393.25085476314,10118.512612320643,3,7,5.0,0.0,31,7.0,11.159365923677072,4.0,Standard,1.345343203024653,28.129638710142938,Yes,495.23235355086274,828.9201184004817,Good,28.0,High,Large
